ntoskrnlVersion,PspCreateProcessNotifyRoutineOffset,PspCreateThreadNotifyRoutineOffset,PspLoadImageNotifyRoutineOffset,_PS_PROTECTIONOffset,EtwThreatIntProvRegHandleOffset,EtwRegEntry_GuidEntryOffset,EtwGuidEntry_ProviderEnableInfoOffset,PsProcessType,PsThreadType,CallbackList
3a7bbe1c5fe0cd115ede21a01341f9e2be30b4bdf81feb89e982de5630ce883f,cec620,cec420,cec220,87a,c19818,20,60,cfc410,cfc440,c8
e8e6040640c9dddc8feeb0a9310bab92e7e422ef469beabdd8b5bb63b7a9dad0,cec2a0,cec0a0,cec4a0,87a,c19e08,20,60,cfc410,cfc440,c8
53acadfdf4ec1bc0621fbf16f3a717c3423af3f5fe277bf52babb4fc91696e41,4da9f0,4dabf0,4da7f0,6ca,40b5d8,20,50,5432d0,5432f8,c8
9c4a699872215f77484bd037724599bbd0f00d38b7750433edd3b591576050ec,cec0e0,cec4e0,cec2e0,87a,c19e28,20,60,cfc410,cfc440,c8
eace65a06bab6b67461ed29783cde9367c3ddd2a31b2594c59d22d77460d4f4b,cec0a0,cec4a0,cec2a0,87a,c19e28,20,60,cfc410,cfc440,c8
147901e279255564c99d1e1ce845794a7b175aee8a60027df77fbc8e667759b6,cec120,cec520,cec320,87a,c19e50,20,60,cfc410,cfc440,c8
57a0ff848e21e3c79525cfed69141455680f5fe06b46c086775b50da0ca582a5,35d2e0,35d0e0,35cee0,6aa,0,20,50,3c51e8,3c5200,c8
d8b4d4793a5ee815b0f2c7c08049b7b0db2396f117fb17c505bae44ae3ea19bd,35c3e0,35c1e0,35bfe0,6aa,0,20,50,3c41e8,3c4200,c8
e7566f5b71c876ff742f1f9733208d44fd66085ca62a478b32057a4d3bc2e20c,35c3e0,35c1e0,35bfe0,6aa,0,20,50,3c41e8,3c4200,c8
1c965f05106e4d612e3b89512bb47259a3f08d0f20672b416ee2ece1a1ac17cf,35c420,35c220,35c020,6aa,0,20,50,3c41e8,3c4200,c8
9ba3491a19385bc6491bea1e0fa0096a2bfdddd6a54cab5882902976039d09a7,35d420,35d220,35d020,6aa,0,20,50,3c51e8,3c5200,c8
